,price,year,manufacturer,model,condition,fuel,odometer,title_status,transmission,type,paint_color
21171,16990,2018.0,hyundai,accent se sedan 4d,good,gas,16930.0,clean,other,sedan,white
21172,3700,2004.0,toyota,highlander,good,gas,142000.0,clean,automatic,,
21173,0,2019.0,mercedes-benz,sprinter box truck,,diesel,4074.0,clean,automatic,,white
21174,11975,2003.0,harley-davidson,davidson,excellent,gas,207000.0,clean,automatic,pickup,black
21175,0,2014.0,nissan,rogue,,gas,47287.0,clean,automatic,SUV,white
21176,21950,2003.0,chevrolet,silverado 3500,excellent,diesel,202537.0,clean,automatic,truck,grey
21177,0,2020.0,gmc,sierra 2500hd,,diesel,9564.0,clean,automatic,,white
21178,27590,2018.0,acura,tlx 3.5 sedan 4d,good,gas,20420.0,clean,other,sedan,black
21179,21990,2018.0,volkswagen,tiguan 2.0t s sport,good,gas,7233.0,clean,other,other,green
21180,22590,2018.0,gmc,terrain sle sport utility 4d,good,gas,33826.0,clean,other,other,
21181,29990,2019.0,subaru,forester touring sport,good,gas,30244.0,clean,other,hatchback,
21182,15590,2015.0,mini,hardtop 2 door cooper s,good,other,60291.0,clean,other,hatchback,red
21183,24990,2018.0,audi,a4 ultra premium sedan 4d,good,gas,24116.0,clean,other,sedan,white
21184,56995,2020.0,ford,f-250sd,,other,2498.0,clean,automatic,,
21185,3975,2006.0,pontiac,g6,excellent,gas,187000.0,clean,automatic,sedan,silver
21186,8000,1972.0,chevrolet,chevelle,fair,gas,61000.0,clean,automatic,,white
21187,32500,1987.0,volkswagen,vanagon,excellent,gas,177313.0,clean,automatic,mini-van,blue
21188,0,2015.0,gmc,sierra 1500,,gas,106993.0,clean,automatic,,white
21189,0,2018.0,hyundai,accent,,gas,55985.0,clean,automatic,sedan,silver
21190,0,2020.0,gmc,sierra 2500hd,,gas,9143.0,clean,automatic,,white
21191,13999,2010.0,lexus,rx 350,excellent,gas,115012.0,clean,automatic,SUV,blue
21192,5995,2011.0,nissan,leaf,new,electric,52396.0,clean,automatic,hatchback,silver
21193,7995,2013.0,chrysler,200,,gas,102161.0,clean,automatic,,
21194,11995,2015.0,nissan,altima ￼,new,gas,102457.0,clean,automatic,sedan,black
21195,17995,2018.0,honda,civic,new,gas,33603.0,clean,manual,sedan,grey
21196,12995,2012.0,toyota,corolla s,like new,gas,80410.0,clean,automatic,sedan,blue
21197,0,2016.0,honda,crv ex awd,excellent,gas,87775.0,clean,automatic,SUV,white
21198,0,2015.0,ram,2500,,diesel,106346.0,clean,automatic,,
21199,0,2016.0,honda,civic sedan,,gas,43794.0,clean,automatic,sedan,
21200,23990,2013.0,lexus,gs 350 sedan 4d,good,gas,39664.0,clean,other,sedan,brown
21201,29990,2016.0,chevrolet,colorado extended cab,good,gas,17302.0,clean,other,pickup,red
21202,25500,2014.0,chevrolet,camaro rs,excellent,gas,29500.0,clean,automatic,coupe,red
21203,9600,1999.0,ram,2500,good,diesel,307000.0,clean,automatic,,
21204,8400,2005.0,chevrolet,suburban 2500,excellent,gas,179000.0,clean,automatic,,
